,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle,bodypart_angle,significant_time
1830,108.2,40.0,2023-06-24 00:05:41.081,0.7835000000000001,Goal,Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Foot,Normal,False,Penalty,,,,From Free Kick,True,True,True,11.799999999999997,90.0,Other,Stoppage Time
1831,99.5,36.5,2023-06-24 00:07:01.807,0.06256409,Saved,Lalthathanga Khawlhring,Kerala Blasters,Left Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,False,False,20.796634343085422,80.31,Left - Outside Foot,Stoppage Time
1832,101.4,44.4,2023-06-24 00:08:27.169,0.09957096,Off T,Álvaro Vázquez García,Kerala Blasters,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Free Kick,True,False,False,19.113346122539607,103.31,Right - Outside Foot,Stoppage Time
1833,105.2,52.5,2023-06-24 00:09:50.612,0.03235079,Saved,Vikram Pratap Singh,Mumbai City,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,19.372403051764124,130.18,Right - Inside Foot,Stoppage Time
1834,116.6,37.3,2023-06-24 00:17:02.695,0.27983427,Wayward,Vikram Pratap Singh,Mumbai City,Left Foot,Half Volley,True,Open Play,Low Pass,,,From Free Kick,True,True,True,4.3416586692184875,51.55,Left - Outside Foot,Stoppage Time
1835,110.2,33.7,2023-06-24 00:20:45.718,0.45587426000000003,Off T,Bipin Singh Thounajam,Mumbai City,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,11.650321883965262,57.26,Left - Outside Foot,Stoppage Time
1836,116.0,32.7,2023-06-24 00:23:13.641,0.08806199,Off T,Vikram Pratap Singh,Mumbai City,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.324061508662702,28.72,Left - Head,Stoppage Time
1837,106.2,51.4,2023-06-24 00:25:15.003,0.05788247,Off T,Sahal Abdul Samad,Kerala Blasters,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,17.899720668211554,129.56,Right - Inside Foot,Stoppage Time
1838,107.5,52.1,2023-06-24 00:29:25.468,0.10356598,Saved,Ygor de Oliveira Ferreira,Mumbai City,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,17.397126199461795,134.07,Right - Outside Foot,Stoppage Time
1839,98.8,43.5,2023-06-24 00:31:52.395,0.05976823,Blocked,Cássio Gabriel Vilela Ferreira,Mumbai City,Right Foot,Normal,True,Open Play,,,,From Free Kick,True,False,False,21.486972797488253,99.37,Right - Outside Foot,Stoppage Time
1840,99.3,49.4,2023-06-24 00:32:19.688,0.023614336000000003,Blocked,Ahmed Jahouh,Mumbai City,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,22.734335266288305,114.42,Right - Outside Foot,Stoppage Time
1841,116.4,50.7,2023-06-24 00:32:28.449,0.039613225,Blocked,Ahmed Jahouh,Mumbai City,Right Foot,Volley,True,Open Play,High Pass,,,From Free Kick,True,True,True,11.289375536317321,161.4,Right - Outside Foot,Stoppage Time
1842,114.6,42.2,2023-06-24 00:33:15.477,0.13538262,Saved,Rahul Bheke,Mumbai City,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,5.830951894845307,112.17,Right - Head,Stoppage Time
1843,106.8,25.8,2023-06-24 00:34:24.174,0.052116245000000005,Saved,Álvaro Vázquez García,Kerala Blasters,Left Foot,Half Volley,True,Open Play,High Pass,,,From Free Kick,True,True,True,19.38762491900439,42.91,Left - Outside Foot,Stoppage Time
1844,105.1,54.7,2023-06-24 00:41:42.534,0.06199937,Off T,Seityasen Singh,Kerala Blasters,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,20.930838492521037,134.61,Right - Inside Foot,Stoppage Time
1845,102.8,53.2,2023-06-24 00:43:55.899,0.04247414,Blocked,Prasanth Karuthadathkuni,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,21.681328372588247,127.5,Right - Outside Foot,Stoppage Time
1846,100.8,51.0,2023-06-24 00:50:02.073,0.058963720000000004,Off T,Prasanth Karuthadathkuni,Kerala Blasters,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,22.127810555949726,119.81,Right - Inside Foot,Stoppage Time
1847,114.1,34.9,2023-06-24 00:02:43.726,0.09191745500000001,Goal,Peter Hartley,Jamshedpur,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,7.798717843338101,49.16,Left - Head,Stoppage Time
1848,95.7,37.3,2023-06-24 00:03:44.431,0.041702848,Goal,Greg Stewart,Odisha,Right Foot,Normal,False,Open Play,,,,From Free Kick,True,False,False,24.449539872971023,83.66,Left - Inside Foot,Stoppage Time
1849,113.1,65.6,2023-06-24 00:13:48.230,0.00852323,Blocked,Greg Stewart,Jamshedpur,Left Foot,Normal,False,Free Kick,,,,From Free Kick,False,True,False,26.513581425375182,164.92,Right - Inside Foot,Stoppage Time
1850,91.1,44.5,2023-06-24 00:19:22.847,0.027023152,Blocked,Jitendra Singh,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,29.24824781076638,98.85,Right - Outside Foot,Stoppage Time
1851,92.9,32.3,2023-06-24 00:20:36.762,0.056422684,Goal,Greg Stewart,Jamshedpur,Left Foot,Normal,False,Free Kick,,,,From Free Kick,True,False,False,28.172681803477634,74.14,Left - Outside Foot,Stoppage Time
1852,88.0,33.6,2023-06-24 00:24:42.023,0.02151174,Saved,Ariday Cabrera Suárez,Odisha,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,32.633724886993825,78.69,Left - Inside Foot,Stoppage Time
1853,102.6,29.3,2023-06-24 00:28:46.044,0.10035458,Wayward,Jerry Mawihmingthanga,Odisha,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,20.426698215815502,58.41,Left - Outside Foot,Stoppage Time
1854,97.1,33.1,2023-06-24 00:30:23.320,0.07831595,Off T,Nerijus Valskis,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,23.916939603552965,73.23,Left - Inside Foot,Stoppage Time
1855,105.8,50.6,2023-06-24 00:34:45.694,0.111688465,Goal,Greg Stewart,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,17.720045146669353,126.74,Right - Outside Foot,Stoppage Time
1856,99.0,32.5,2023-06-24 00:41:24.304,0.042396557,Saved,Alexandre Monteiro de Lima,Jamshedpur,Left Foot,Normal,False,Open Play,,,,From Free Kick,True,False,False,22.299103120977758,70.35,Left - Outside Foot,Stoppage Time
1857,96.2,30.1,2023-06-24 00:04:04.775,0.026909038000000003,Blocked,Ariday Cabrera Suárez,Odisha,Left Foot,Normal,False,Open Play,,,,From Free Kick,True,False,False,25.776927667974704,67.41,Left - Outside Foot,Stoppage Time
1858,112.3,37.7,2023-06-24 00:07:32.160,0.40906924,Blocked,Nerijus Valskis,Jamshedpur,Right Foot,Normal,False,Open Play,Low Pass,,,From Free Kick,True,True,True,8.036168241145777,73.37,Left - Inside Foot,Stoppage Time
1859,108.2,44.6,2023-06-24 00:07:33.843,0.11241034,Off T,Jitendra Singh,Jamshedpur,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,True,True,12.664912159190049,111.3,Right - Outside Foot,Stoppage Time
1860,93.5,37.1,2023-06-24 00:09:10.450,0.014283136,Wayward,Paul Ramfangzauva,Odisha,Right Foot,Volley,True,Open Play,,,,From Free Kick,True,False,False,26.658206991468873,83.75,Left - Inside Foot,Stoppage Time
1861,100.0,35.1,2023-06-24 00:16:15.309,0.035205387000000005,Wayward,Jitendra Singh,Jamshedpur,Right Foot,Volley,True,Open Play,,,,From Free Kick,True,False,False,20.591503102007877,76.23,Left - Inside Foot,Stoppage Time
1862,116.1,34.3,2023-06-24 00:18:15.804,0.13127078,Wayward,Gaurav Bora,Odisha,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,6.906518659932808,34.38,Left - Head,Stoppage Time
1863,90.4,56.2,2023-06-24 00:21:18.451,0.0058877934,Saved,Lalhrezuala Sailung,Odisha,Right Foot,Volley,True,Open Play,,,,From Free Kick,True,False,False,33.743147452482845,118.69,Right - Outside Foot,Stoppage Time
1864,114.2,52.4,2023-06-24 00:24:19.187,0.095659405,Off T,Boris Singh Thangjam,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,13.68941196691808,154.93,Right - Outside Foot,Stoppage Time
1865,104.9,48.1,2023-06-24 00:25:03.810,0.057441078000000007,Blocked,Jordan Murray,Jamshedpur,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Free Kick,True,True,True,17.135343591536174,118.21,Right - Outside Foot,Stoppage Time
1866,106.3,32.4,2023-06-24 00:25:10.002,0.06001857,Blocked,Komal Thatal,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,15.66684397062791,60.98,Left - Inside Foot,Stoppage Time
1867,92.8,54.3,2023-06-24 00:27:05.921,0.021022499,Blocked,Jordan Murray,Jamshedpur,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,30.729952814802694,117.73,Right - Outside Foot,Stoppage Time
1868,111.1,37.0,2023-06-24 00:27:29.909,0.10022011,Off T,Nerijus Valskis,Jamshedpur,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,9.392017887546857,71.37,Left - Head,Stoppage Time
1869,88.3,41.2,2023-06-24 00:34:03.592,0.027156938000000002,Blocked,Nerijus Valskis,Jamshedpur,Right Foot,Normal,False,Free Kick,,,,From Free Kick,True,False,False,31.722704802711895,92.17,Right - Outside Foot,Stoppage Time
1870,87.0,42.8,2023-06-24 00:34:05.582,0.013046596,Off T,Greg Stewart,Jamshedpur,Left Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,33.11857484856497,94.85,Right - Inside Foot,Stoppage Time
1871,95.9,40.8,2023-06-24 00:34:49.672,0.032472238,Blocked,Vinit Rai Chamling,Odisha,Right Foot,Normal,True,Open Play,,,,From Free Kick,True,False,False,24.11327435252209,91.9,Right - Outside Foot,Stoppage Time
1872,87.5,38.0,2023-06-24 00:40:12.641,0.022835296,Off T,Nikhil Raj Murugesh Kumar,Odisha,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,32.56148031032987,86.48,Left - Inside Foot,Stoppage Time
1873,110.8,60.0,2023-06-24 00:41:34.177,0.008053211000000001,Blocked,Francisco Javier Hernández González,Odisha,Left Foot,Normal,False,Open Play,High Pass,,,From Free Kick,False,True,False,22.01454064930722,155.3,Right - Inside Foot,Stoppage Time
1874,113.7,35.9,2023-06-24 00:42:54.167,0.20773153,Off T,Jonathas Cristian de Jesus,Odisha,Head,Normal,False,Open Play,,,,From Free Kick,True,True,True,7.516648189186452,56.94,Left - Head,Stoppage Time
1875,113.1,39.5,2023-06-24 00:49:46.834,0.11991189000000001,Off T,Nerijus Valskis,Jamshedpur,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,6.918092222571197,85.86,Left - Head,Stoppage Time
1876,99.2,14.7,2023-06-24 00:07:17.603,0.00682022,Off T,Mirlan Murzaev,Chennaiyin,Right Foot,Normal,False,Open Play,,,,From Free Kick,False,False,False,32.75255715207593,39.42,Left - Inside Foot,Stoppage Time
1877,103.2,23.4,2023-06-24 00:09:32.198,0.042124916000000005,Saved,Javier Siverio Toro,Chennaiyin,Left Foot,Normal,False,Open Play,,,,From Free Kick,True,True,True,23.61778990506944,45.34,Left - Outside Foot,Stoppage Time
1878,101.7,26.6,2023-06-24 00:10:20.078,0.03696499,Saved,Eduardo García Martín,Hyderabad,Right Foot,Half Volley,True,Open Play,Ground Pass,,,From Free Kick,True,False,False,22.681490250863142,53.79,Left - Inside Foot,Stoppage Time
1879,114.5,32.2,2023-06-24 00:12:50.689,0.11377085,Goal,Mohammad Sajid Dhot,Chennaiyin,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,9.544108130150242,35.19,Left - Head,Stoppage Time
1880,106.8,41.3,2023-06-24 00:14:10.486,0.09151532,Blocked,Souvik Chakrabarti,Hyderabad,Right Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,True,True,13.263860674780931,95.62,Right - Outside Foot,Stoppage Time
1881,113.8,44.8,2023-06-24 00:15:39.661,0.12519422,Wayward,Javier Siverio Toro,Hyderabad,Head,Normal,False,Open Play,Low Pass,,,From Free Kick,True,True,True,7.840918313565064,127.75,Right - Head,Stoppage Time
1882,98.3,39.6,2023-06-24 00:21:46.195,0.038305704,Blocked,Souvik Chakrabarti,Hyderabad,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,21.703686322834656,88.94,Left - Inside Foot,Stoppage Time
1883,116.3,45.7,2023-06-24 00:22:08.609,0.09377969,Off T,Javier Siverio Toro,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,6.795586803212807,147.01,Right - Head,Stoppage Time
1884,112.8,48.0,2023-06-24 00:23:23.217,0.038092148,Blocked,Eduardo García Martín,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,10.762899237658969,138.01,Right - Head,Stoppage Time
1885,114.6,46.0,2023-06-24 00:23:49.187,0.09799938,Wayward,João Victor de Albuquerque Bruno,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.07217442824423,138.01,Right - Head,Stoppage Time
1886,101.0,31.7,2023-06-24 00:25:06.798,0.023984378,Blocked,Aniket Anil Jadhav,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,20.733788848157975,66.4,Left - Inside Foot,Stoppage Time
1887,98.4,30.5,2023-06-24 00:40:00.230,0.051517190000000004,Saved,Javier Siverio Toro,Hyderabad,Left Foot,Normal,True,Open Play,,,,From Free Kick,True,False,False,23.59682181989769,66.26,Left - Outside Foot,Stoppage Time
1888,94.7,23.4,2023-06-24 00:42:32.841,0.013838084,Off T,Akash Mishra,Hyderabad,Left Foot,Half Volley,False,Open Play,Low Pass,,,From Free Kick,True,False,False,30.259709185648163,56.73,Left - Outside Foot,Stoppage Time
1889,105.5,32.5,2023-06-24 00:43:29.918,0.0560561,Saved,Souvik Chakrabarti,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,16.32482771731451,62.65,Left - Head,Stoppage Time
1890,114.1,27.8,2023-06-24 00:44:44.514,0.02716123,Saved,Eduardo García Martín,Hyderabad,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,True,True,13.551752654177246,25.81,Left - Outside Foot,Stoppage Time
1891,104.4,58.6,2023-06-24 00:46:53.016,0.010513731,Saved,Mirlan Murzaev,Chennaiyin,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,False,True,False,24.275913988972686,140.01,Right - Outside Foot,Stoppage Time
1892,108.2,43.9,2023-06-24 00:47:21.663,0.12204901,Off T,Javier Siverio Toro,Hyderabad,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Free Kick,True,True,True,12.42779143693681,108.29,Right - Outside Foot,Stoppage Time
1893,110.4,39.5,2023-06-24 00:48:54.461,0.06367051,Goal,Javier Siverio Toro,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,9.6130120149722,87.02,Left - Head,Stoppage Time
1894,102.0,38.0,2023-06-24 00:01:14.675,0.06034847300000001,Saved,Javier Siverio Toro,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,18.110770276274835,83.66,Left - Inside Foot,Stoppage Time
1895,111.5,44.4,2023-06-24 00:02:18.404,0.15091847,Off T,Mohammad Sajid Dhot,Chennaiyin,Right Foot,Half Volley,True,Open Play,High Pass,,,From Free Kick,True,True,True,9.571311299921238,117.37,Right - Outside Foot,Stoppage Time
1896,100.7,28.7,2023-06-24 00:03:55.331,0.040167343,Saved,Aniket Anil Jadhav,Hyderabad,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,22.36470433517957,59.65,Left - Inside Foot,Stoppage Time
1897,116.3,29.2,2023-06-24 00:04:28.709,0.033537235000000006,Blocked,Juan Antonio González Fernández,Hyderabad,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,11.416216536138409,18.91,Left - Head,Stoppage Time
1898,101.7,61.0,2023-06-24 00:05:12.200,0.008938926,Off T,Nikhil Poojary,Hyderabad,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,False,False,False,27.85480209945854,138.93,Right - Inside Foot,Stoppage Time
