,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,technique,first_touch,assist,state_of_play
101,0.009659232,False,2,Liston Colaco,ATK Mohun Bagan,19.47434209415045,True,23.93,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
102,0.21061859,False,13,Joni Ensio Kauko,ATK Mohun Bagan,15.300326793895607,True,143.5,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
103,0.6610735999999999,True,17,Roy Krishna,ATK Mohun Bagan,4.414748010928821,True,103.09,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
104,0.007492812000000001,False,26,Javier Siverio Toro,Hyderabad,24.936920419330047,False,12.98,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
105,0.016769262,False,26,Akash Mishra,Hyderabad,27.418606820916338,False,62.41,Right Foot,Volley,False,Unassisted,Set Piece - Free Kick
106,0.071368806,False,37,Javier Siverio Toro,Hyderabad,22.536193112413642,False,121.57,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
107,0.03721469,False,42,Liston Colaco,ATK Mohun Bagan,23.170886905770352,False,62.22,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
108,0.04216473,False,46,Mohammad Yasir,Hyderabad,21.005951537600005,True,141.77,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
109,0.17200659999999998,False,47,Aniket Anil Jadhav,Hyderabad,7.220110802473883,True,59.17,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
110,0.19154745,True,47,Bartholomew Owogbalor Ogbeche,Hyderabad,6.262587324740476,True,70.41,Head,Ground,False,Unassisted,Set Piece - Free Kick
111,0.010948123,False,5,Liston Colaco,ATK Mohun Bagan,21.56038033059714,False,31.92,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
112,0.12020791,True,12,Mohammad Yasir,Hyderabad,20.779316639389272,False,111.75,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
113,0.17641221,True,18,Javier Siverio Toro,Hyderabad,6.449806198638845,True,82.87,Head,Ground,False,Unassisted,Set Piece - Free Kick
114,0.058577330000000004,False,23,Bartholomew Owogbalor Ogbeche,Hyderabad,20.566477578817423,False,99.23,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
115,0.07108702,False,26,Liston Colaco,ATK Mohun Bagan,17.996110690924308,True,41.4,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
116,0.053389467,False,27,Carl Gerard McHugh,ATK Mohun Bagan,9.929753269845126,True,62.4,Head,Ground,False,Unassisted,Set Piece - Free Kick
117,0.14387792,False,29,Joni Ensio Kauko,ATK Mohun Bagan,12.63012272307756,True,79.05,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
118,0.032235228000000005,False,32,Mohammad Yasir,Hyderabad,21.61480973777007,True,38.99,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
119,0.053989135,False,32,Mohammad Yasir,Hyderabad,18.18928255869373,True,42.55,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
120,0.050134677,False,45,Subhasish Bose,ATK Mohun Bagan,9.479451460923256,True,46.71,Head,Ground,False,Unassisted,Set Piece - Free Kick
121,0.016115217,False,46,Prabir Das,ATK Mohun Bagan,26.90910626535188,False,111.13,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
122,0.08464161,False,46,Carl Gerard McHugh,ATK Mohun Bagan,7.879086241436887,True,113.96,Head,Ground,False,Unassisted,Set Piece - Free Kick
123,0.363819,False,49,Kiyan Nassiri Giri,ATK Mohun Bagan,6.574191965557445,True,63.82,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
124,0.17319176,False,9,Daniel Chima Chukwu,Jamshedpur,12.182364302548173,True,142.0,Right Foot,Volley,False,Unassisted,Set Piece - Free Kick
125,0.10325141,False,16,Peter Hartley,Jamshedpur,10.358571330062848,True,139.7,Other Bodypart,Ground,False,Unassisted,Set Piece - Free Kick
126,0.14446138,False,19,Daniel Chima Chukwu,Kerala Blasters,16.52392205258788,True,128.12,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
127,0.08763512,False,33,Mohammad Mobashir Rahman,Jamshedpur,14.089002803605371,True,152.53,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
128,0.23170227000000002,True,37,Sahal Abdul Samad,Kerala Blasters,19.866806487203725,False,78.97,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
129,0.16322112,False,12,Jorge Rolando Pereyra Díaz,Kerala Blasters,11.936498649101415,True,81.33,Head,Volley,False,Unassisted,Set Piece - Free Kick
130,0.0064820144000000005,False,13,Adrián Nicolás Luna Retamar,Kerala Blasters,37.66297917053297,False,31.54,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
131,0.07706613,False,23,Álvaro Vázquez García,Kerala Blasters,20.359273071502333,False,65.32,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
132,0.06741423,False,24,Marko Lešković,Kerala Blasters,8.429116205154601,True,41.63,Head,Ground,False,Unassisted,Set Piece - Free Kick
133,0.00928039,False,27,Adrián Nicolás Luna Retamar,Kerala Blasters,27.17425251961864,False,38.73,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
134,0.027107799999999998,False,33,Ritwik Kumar Das,Jamshedpur,25.004999500099974,False,128.02,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
135,0.044597484,False,42,Ishan Pandita,Jamshedpur,15.786703265723336,True,144.8,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
136,0.06947374,False,6,Liston Colaco,ATK Mohun Bagan,24.49020212248156,False,113.84,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
137,0.017825356,False,6,Carl Gerard McHugh,ATK Mohun Bagan,26.210112552219233,False,123.33,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
138,0.056218583,False,13,Subhasish Bose,ATK Mohun Bagan,26.35773131360133,False,69.57,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
139,0.11833861500000001,False,16,Joni Ensio Kauko,ATK Mohun Bagan,13.879841497654073,True,66.21,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
140,0.019594125,False,16,Carl Gerard McHugh,ATK Mohun Bagan,25.60410123398202,False,73.9,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
141,0.0797664,False,18,Daniel Chima Chukwu,Jamshedpur,11.573245007343447,True,96.45,Head,Ground,False,Unassisted,Set Piece - Free Kick
142,0.019718505,False,20,Lenny Rodrigues,ATK Mohun Bagan,29.873901653449952,False,94.03,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
143,0.048323724000000005,False,22,Greg Stewart,Jamshedpur,20.81465829649865,False,114.1,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
144,0.054498114,False,35,Ritwik Kumar Das,Jamshedpur,22.58007971642262,False,75.9,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
145,0.037163828,False,36,Liston Colaco,ATK Mohun Bagan,24.021656895393377,False,57.24,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
146,0.028067276000000002,False,47,José Luis Espinosa Arroyo,ATK Mohun Bagan,27.637836384203453,False,63.34,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
147,0.06176329,False,1,Greg Stewart,Jamshedpur,26.322993750711568,False,79.71,Left Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
148,0.034263354,False,10,Greg Stewart,Jamshedpur,20.84826131839296,False,78.1,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
149,0.1310289,True,10,Ritwik Kumar Das,Jamshedpur,16.902662512160624,True,91.02,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
150,0.06374749,False,20,David Joel Williams,ATK Mohun Bagan,18.95943037118996,False,94.54,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
151,0.02613109,False,26,Joni Ensio Kauko,ATK Mohun Bagan,26.826852219371546,False,87.44,Right Foot,Volley,False,Unassisted,Set Piece - Free Kick
152,0.022133218000000003,False,35,Ashutosh Mehta,ATK Mohun Bagan,28.04318098932431,False,62.61,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
153,0.06465637,False,37,Peter Hartley,Jamshedpur,11.172287142747454,True,45.0,Head,Ground,False,Unassisted,Set Piece - Free Kick
154,0.014178629000000002,False,39,Liston Colaco,ATK Mohun Bagan,28.1810219828877,False,50.04,Right Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
155,0.02024723,False,43,Manvir Singh,ATK Mohun Bagan,15.84171707865028,True,136.02,Head,Ground,False,Unassisted,Set Piece - Free Kick
156,0.013516086,False,44,Liston Colaco,ATK Mohun Bagan,34.951537877466855,False,99.22,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
157,0.09090353500000001,False,45,Jordan Murray,Jamshedpur,17.963574254585303,True,129.81,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
158,0.037368562,False,47,Liston Colaco,ATK Mohun Bagan,23.58495283014151,False,74.25,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
159,0.03721852,False,48,David Joel Williams,ATK Mohun Bagan,25.8588476154681,False,102.96,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
160,0.18320926,False,49,Joni Ensio Kauko,ATK Mohun Bagan,10.904127658827187,True,54.71,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
161,0.08155384,False,51,David Joel Williams,ATK Mohun Bagan,11.708543888972702,True,79.17,Head,Ground,False,Unassisted,Set Piece - Free Kick
162,0.07306462500000001,False,1,Subha Ghosh,East Bengal,24.7315587862957,False,63.85,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
163,0.008100907000000001,False,13,Antonio Perošević,East Bengal,30.38190250790756,False,142.49,Left Foot,Ground,False,Unassisted,Set Piece - Direct Free Kick
164,0.2212649,False,21,Antonio Perošević,East Bengal,21.65386801474508,False,67.46,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
165,0.036192287000000004,False,22,Lalrinliana Hnamte,East Bengal,23.657979626333265,False,80.02,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
166,0.014852899999999999,False,22,Naocha Huidrom Singh,East Bengal,29.822307087145358,False,107.77,Left Foot,Volley,True,Unassisted,Set Piece - Free Kick
167,0.40100747000000003,True,23,Sunil Chhetri,Bengaluru,16.227445886522005,True,76.82,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
168,0.23998916,False,26,Franjo Prce,East Bengal,5.560575509783141,True,127.69,Head,Ground,False,Unassisted,Set Piece - Free Kick
169,0.065021165,False,29,Udanta Kumam Singh,Bengaluru,25.124689052802225,False,111.97,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
170,0.042652104,False,40,Antonio Perošević,East Bengal,15.26106156202772,True,142.45,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
171,0.015724314,False,41,Sourav Das,East Bengal,29.644055053248035,False,102.86,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
172,0.07118778,False,2,Cleiton Augusto Oliveira Silva,Bengaluru,7.742092740338362,True,54.46,Head,Ground,False,Unassisted,Set Piece - Free Kick
173,0.039614014,False,5,Naorem Roshan Singh,Bengaluru,26.941603515752362,False,97.68,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
174,0.07368727,False,8,Marcelo Ribeiro dos Santos,East Bengal,21.73476477903546,False,100.07,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
175,0.014438139000000001,False,12,Naorem Mahesh Singh,East Bengal,17.651062290978413,True,19.87,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
176,0.0048955280000000006,False,15,Naorem Roshan Singh,Bengaluru,42.85148772213165,False,87.19,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
177,0.25535917,False,17,Thongkhosiem Haokip,East Bengal,15.595512174981616,True,75.52,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
178,0.26077035,False,18,Marcelo Ribeiro dos Santos,East Bengal,17.80365131089688,True,108.33,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
179,0.20941205000000002,False,24,Marcelo Ribeiro dos Santos,East Bengal,13.103434664239751,True,38.18,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
